speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Mumbai,Dr. Vibha Murarka,22,Believe - Health And Skin Clinic,"Girgaon,",1700,99%,442,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Anju Bijoy Methil,31,The Skin and Shape Clinic,"Andheri West,",1200,96%,679,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Rasna Kapoor,26,Kaya Clinic,"Bandra West,",500,100%,11,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Bindu Sthalekar,37,Skin Smart Solutions,"Khar West,",3000,97%,260,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Prachi Saraogi,17,Saraogi Healthcare,"Malad East,",1000,98%,324,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Khushboo Kadri,21,Krasiva Clinic,"Bandra West,",1000,93%,124,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Vikas Halwai,16,Derma Dent Aesthetic clinic,"Chinchpokli,",800,92%,132,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sunita Naik,28,Kaya Clinic,"Powai,",500,94%,16,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Mansukhlal Ghalla,43,Dermatree Skin and Hair Clinic,"Worli,",2000,95%,73,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Pallavi Sule,15,Dr. Pallavi Sule''s Skin Hair Aesthetics Clinic,"Powai,",1500,91%,114,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Priyal Gala,16,Gala Skin & Hair Clinic,"Matunga,",1500,97%,92,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Aakanksha Gupta,6,Dr. Aakanksha Gupta Clinic,"Dadar West,",1000,100%,26,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nimesh Mehta,29,S.L. Raheja Hospital – A Fortis Associate,"Mahim,",2000,89%,19,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Yogesh Kalyanpad,15,SkinAmour Clinic,"Santacruz West,",1500,100%,542,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Priyanka Ghuge Avhad,15,Skin & Hair World,"Sion,",1000,96%,57,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Trupti D Agarwal,14,Sir H.N. Reliance Foundation Hospital,"Charni Road,",1500,98%,49,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Chirag Desai,15,Divya Sparsh Skin & Hair Clinic,"Dadar East,",1000,100%,1,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Saloni Vora,11,Dr Sheth''s Skin And Hair Clinic,"Juhu,",1750,94%,124,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Usha Beloskar,29,Kaya Clinic,"Kala Ghoda,",1000,100%,6,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nishigandha Haridas Deshpande,8,The Skin and Lungs Clinic,"Mira Road,",800,100%,1,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Anjulika Bhagchandani,38,Kaya Clinic,"Andheri East,",500,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nidhi Shah,9,Dr Sheth''s Skin And Hair Clinic,"Juhu,",1750,99%,93,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Noorsabha A. Khan,15,Dr. Noorsabha A. Khan,"Lokhandwala,",1000,100%,14,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Lubna Shaikh,17,Absolute Cosmetic Clinic,"Lokhandwala,",1000,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. C.Mallika Choudhury,5,Elixir Wellness,"Peddar Road,",2360,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Ms. Padmaja,3,Tender Skin International,"Andheri West,",500,Not available,Not available,Not available,Not available,Not available
